Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2µF ±20% 6.3V X5R","C0402",22.950000,-2.600000,90.000000,bottom
"C2","2.2µF ±20% 6.3V X5R","C0402",28.000000,-16.500000,-90.000000,bottom
"C3","2.2µF ±20% 6.3V X5R","C0402",22.000000,-16.500000,-90.000000,bottom
"C4","2.2µF ±20% 6.3V X5R","C0402",12.500000,-7.800000,-90.000000,bottom
"C5","2.2µF ±20% 6.3V X5R","C0402",12.500000,-12.200000,90.000000,bottom
"C6","15pF 50V C0G","C0402",17.750000,-3.000000,90.000000,bottom
"C7","15pF 50V C0G","C0402",11.750000,-3.000000,-90.000000,bottom
"C8","1µF 25V X5R","C0402",17.500000,-17.500000,0.000000,bottom
"C9","2.2µF ±20% 6.3V X5R","C0402",28.000000,-5.250000,90.000000,bottom
"D1","3.05V","LED-SMD_L3.2-W1.3-RD_GREEN-MHT151UGCT",3.500000,-3.250000,0.000000,bottom
"D2","3.05V","LED-SMD_L3.2-W1.3-RD_GREEN-MHT151UGCT",3.500000,-7.750000,0.000000,bottom
"D3","TVS","SOD-323_L1.7-W1.3-LS2.5-BI",33.500000,-5.500000,180.000000,bottom
"D4","Diode","SOD-323_L1.8-W1.3-LS2.5-RD",17.500000,-15.750000,180.000000,bottom
"D5","3.15V","LED-SMD_L3.2-W1.3-RD_MHT151WDT",3.500000,-12.250000,0.000000,bottom
"D6","3.05V","LED-SMD_L3.2-W1.3-RD_GREEN-MHT151UGCT",3.500000,-16.750000,0.000000,bottom
"R1","200Ω","R0402",7.900000,-3.250000,0.000000,bottom
"R2","200Ω","R0402",7.900000,-7.750000,0.000000,bottom
"R3","3.3kΩ","R0402",22.950000,-5.000000,90.000000,bottom
"R4","3.3kΩ","R0402",26.550000,-5.000000,90.000000,bottom
"R5","ResistorArray","RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL",35.250000,-8.650000,90.000000,bottom
"R6","ResistorArray","RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL",35.250000,-11.350000,90.000000,bottom
"R7","ResistorArray","RES-ARRAY-SMD_8P-L2.0-W1.0-BL_CN24XXXX",30.000000,-5.500000,0.000000,bottom
"R8","ResistorArray","RES-ARRAY-SMD_8P-L2.0-W1.0-BL_CN24XXXX",30.000000,-14.500000,180.000000,bottom
"R13","3.3kΩ","R0402",14.750000,-15.750000,-90.000000,bottom
"R14","ResistorArray","RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL",24.750000,-9.300000,90.000000,bottom
"R15","ResistorArray","RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL",24.750000,-12.000000,90.000000,bottom
"R22","1kΩ","R0402",7.900000,-12.250000,0.000000,bottom
"R23","200Ω","R0402",7.900000,-16.750000,0.000000,bottom
"U1","SNx4LVC541A","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",30.000000,-10.000000,-90.000000,bottom
"U2","EEPROM","UDFN-8_L3.0-W2.0-P0.50-TL",24.750000,-3.500000,-90.000000,bottom
"U3","LDO 3.3V 250mA   Vin max 4.75V - 5.25V Iq ","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",25.000000,-16.500000,180.000000,bottom
"U4","CBM9002A_56ILG","QFN-56_L8.0-W8.0-P0.50-BL-EP",18.000000,-10.000000,0.000000,bottom
"XTAL1","Crystal","CRYSTAL-SMD_4P-L3.2-W2.5-BL",14.750000,-3.000000,180.000000,bottom
"H1","MountingSlot","MountingSlot",0.000000,-10.000000,90.000000,top
